geom,oid,longitude,latitude,providers,species,datasets,date_min,date_max,num_records,num_animals,num_species,csquare,geom_wkt
0103000020E61000000100000005000000000000000040584000000000000028C0000000000080584000000000000028C000000000008058400000000000002AC000000000004058400000000000002AC0000000000040584000000000000028C0,21460088,98,-12,CSIRO,Rhincodon typus,1296,02/10/2018,03/10/2018,2,1,1,3109:227,"POLYGON((97 -12,98 -12,98 -13,97 -13,97 -12))"
0103000020E6100000010000000500000000000000008058400000000000002AC00000000000C058400000000000002AC00000000000C058400000000000002CC000000000008058400000000000002CC000000000008058400000000000002AC0,21460096,99,-13,CSIRO,Rhincodon typus,1296,28/09/2018,30/09/2018,14,1,1,3109:238,"POLYGON((98 -13,99 -13,99 -14,98 -14,98 -13))"
0103000020E61000000100000005000000000000000080584000000000000028C00000000000C0584000000000000028C00000000000C058400000000000002AC000000000008058400000000000002AC0000000000080584000000000000028C0,21460091,99,-12,CSIRO,Rhincodon typus,1296,01/10/2018,03/10/2018,4,1,1,3109:228,"POLYGON((98 -12,99 -12,99 -13,98 -13,98 -12))"
0103000020E61000000100000005000000000000000080584000000000000026C00000000000C0584000000000000026C00000000000C0584000000000000028C0000000000080584000000000000028C0000000000080584000000000000026C0,21460085,99,-12,CSIRO,Rhincodon typus,1296,04/10/2018,04/10/2018,1,1,1,3109:218,"POLYGON((98 -11,99 -11,99 -12,98 -12,98 -11))"
0103000020E610000001000000050000000000000000C058400000000000002CC000000000000059400000000000002CC000000000000059400000000000002EC00000000000C058400000000000002EC00000000000C058400000000000002CC0,21460101,100,-14,CSIRO,Rhincodon typus,1296,25/09/2018,28/09/2018,10,1,1,3109:249,"POLYGON((99 -14,100 -14,100 -15,99 -15,99 -14))"
0103000020E610000001000000050000000000000000C058400000000000002AC000000000000059400000000000002AC000000000000059400000000000002CC00000000000C058400000000000002CC00000000000C058400000000000002AC0,21460097,99,-14,CSIRO,Rhincodon typus,1296,28/09/2018,28/09/2018,1,1,1,3109:239,"POLYGON((99 -13,100 -13,100 -14,99 -14,99 -13))"
0103000020E610000001000000050000000000000000C0584000000000000028C0000000000000594000000000000028C000000000000059400000000000002AC00000000000C058400000000000002AC00000000000C0584000000000000028C0,21460093,100,-13,CSIRO,Rhincodon typus,1296,05/09/2018,21/09/2018,3,1,1,3109:229,"POLYGON((99 -12,100 -12,100 -13,99 -13,99 -12))"
0103000020E610000001000000050000000000000000C0584000000000000026C0000000000000594000000000000026C0000000000000594000000000000028C00000000000C0584000000000000028C00000000000C0584000000000000026C0,21460086,99,-11,CSIRO,Rhincodon typus,1296,10/10/2018,10/10/2018,2,1,1,3109:219,"POLYGON((99 -11,100 -11,100 -12,99 -12,99 -11))"
0103000020E610000001000000050000000000000000C0584000000000000020C0000000000000594000000000000020C0000000000000594000000000000022C00000000000C0584000000000000022C00000000000C0584000000000000020C0,21459960,100,-8,CSIRO,Rhincodon typus,1296,08/10/2018,25/10/2018,69,1,1,3009:489,"POLYGON((99 -8,100 -8,100 -9,99 -9,99 -8))"
0103000020E6100000010000000500000000000000000059400000000000002CC000000000004059400000000000002CC000000000004059400000000000002EC000000000000059400000000000002EC000000000000059400000000000002CC0,21460147,101,-14,CSIRO,Rhincodon typus,1296,31/08/2018,02/09/2018,13,1,1,3110:140,"POLYGON((100 -14,101 -14,101 -15,100 -15,100 -14))"
0103000020E6100000010000000500000000000000000059400000000000002AC000000000004059400000000000002AC000000000004059400000000000002CC000000000000059400000000000002CC000000000000059400000000000002AC0,21460133,101,-13,CSIRO,Rhincodon typus,1296,02/09/2018,21/09/2018,18,1,1,3110:130,"POLYGON((100 -13,101 -13,101 -14,100 -14,100 -13))"
